type,title,categories,version,file_urls,version_order
download,Tafsir Maqatil bin Sulaiman - Surah al-Lahab 111 (ar),111 Al-Lahab|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir Maqatil bin Sulaiman - Abul Hasan Maqatil bin Sulaiman,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/111_tafasir_surah_al_lahab_arab_pdf/tafsir-maqatil-111-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1JbKTSOnrhsRHZblRZWSuCIzoYTKdV1E6,1
download,Tafsir Marahi Labid - Surah al-Lahab 111 (ar),111 Al-Lahab|Kumpulan Tafsir al-Qur'an|Marahi Labid / Tafsir al-Munir - Al-‘Allamah asy-Syaikh Muhammad Nawawi al-Jawi (Banten)|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/111_tafasir_surah_al_lahab_arab_pdf/tafsir-marahi-labid-111-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1JIIRSAJ3_oOwb8nAcDrxVwaxfDoo3SAx,1
download,Tafsir Mujahid - Surah al-Lahab 111 (ar),111 Al-Lahab|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Imam Mujahid bin Jabr - Mujahid bin Jabr,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/111_tafasir_surah_al_lahab_arab_pdf/tafsir-mujahid-111-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=18xGoHadlgvG20A1oxLZ78JU86V1do6CY,1
download,Tafsir Fi Zhilal-il-Qur'an (Sayyid Quthb)- Surah al-Lahab 111 (ar),111 Al-Lahab|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir fi Dzilal-il-Qur'an - Sayyid Quthb Ibrahim Husain asy-Syadzili,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/111_tafasir_surah_al_lahab_arab_pdf/tafsir-sayyid-quthb-111-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1edSyatf-JCLNJBsWXGkVu1LXwKYI_lfg,1
