type,title,categories,version,file_urls,version_order
download,Tafsir ath-Thusi - Surah al-Lahab 111 (ar),111 Al-Lahab|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir ath-Thibyan - Ath-Thusi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/111_tafasir_surah_al_lahab_arab_pdf/tafsir-ath-thusi-sy111-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1z1OGiisPm4TDZ0dhT2lc6XdAYTkstkFj,1
download,Tafsir ats-Tsa'alibi - Surah al-Lahab 111 (ar),111 Al-Lahab|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Jawahir-ul-Hisan fi Tafsir-il-Qur'an - Ats-Tsa'alibi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/111_tafasir_surah_al_lahab_arab_pdf/tafsir-ats-tsa-alabi-111-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1I6Ybfkyhk6UWY5Ut2J1RWLNG8tkTyPbC,1
download,Tafsir ats-Tsa'labi - Surah al-Lahab 111 (ar),111 Al-Lahab|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Kasyf wal Bayan - Ats-Tsa'labi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/111_tafasir_surah_al_lahab_arab_pdf/tafsir-ats-tsa-labi-111-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1Evo-RzRY9NurcjiQ2pxhkyhxMZQWtwqA,1
download,Tafsir at-Tustari - Surah al-Lahab 111 (ar),111 Al-Lahab|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Qur'an-il-'Adzim - At-Tustari,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/111_tafasir_surah_al_lahab_arab_pdf/tafsir-at-tustari-sh111-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1xz-27P6pBztlxizHpK1fVb7l5H89uKB1,1
download,Tafsir az-Zamakhsyari - Surah al-Lahab 111 (ar),111 Al-Lahab|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Kasysyaf - Az-Zamakhsyari,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/111_tafasir_surah_al_lahab_arab_pdf/tafsir-az-zamakhsyari-111-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=16GRR2afVaQaUjPgA38kGF81eD32BJSQx,1
