type,title,categories,version,file_urls,version_order
download,Tafsir Aththafayyisy - Surah al-Ikhlash 112 (ar),112 Al-Ikhlash|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Taisir-ut-Tafsir - Muhammad bin Yusuf Aththafayyisy,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-aththafayyisy-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=14AFxpXIRBEnKPEnpe9Ajxyuusllvyrzw,1
download,Tafsir Maqatil bin Sulaiman - Surah al-Ikhlash 112 (ar),112 Al-Ikhlash|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir Maqatil bin Sulaiman - Abul Hasan Maqatil bin Sulaiman,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-maqatil-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=155SNV2OE6fnmLXSde6MZTVVe6OC8N3Yg,1
download,Tafsir Marahi Labid - Surah al-Ikhlash 112 (ar),112 Al-Ikhlash|Kumpulan Tafsir al-Qur'an|Marahi Labid / Tafsir al-Munir - Al-'Allamah asy-Syaikh Muhammad Nawawi al-Jawi (Banten)|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-marahi-labid-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1B57-iiSNjGYXQ_aiS31sCJ4qrvYitcf7,1
download,Tafsir Mujahid - Surah al-Ikhlash 112 (ar),112 Al-Ikhlash|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Imam Mujahid bin Jabr - Mujahid bin Jabr,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-mujahid-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1-l9nUWuj3IPemKOmwoKPvEFLsjzmNRQ8,1
