type,title,categories,version,file_urls,version_order
download,Tafsir az-Zarkasyi - Surah al-Lahab 111 (ar),111 Al-Lahab|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir az-Zarkasyi - Badr ad-Din Muhammad bin 'Abdullah Bihadir az-Zarkasyi asy-Syafi'i,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/111_tafasir_surah_al_lahab_arab_pdf/tafsir-az-zarkasyi-111-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1Oz6ewAhhuYjKgR4aP3_FirrJqdrmFv7s,1
download,Tafsir az-Zuhaili (al-Munir) - Surah al-Lahab 111 (ar),111 Al-Lahab|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Munir - Al-Ustadz ad-Doktor Wahbah az-Zuhaili ,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/111_tafasir_surah_al_lahab_arab_pdf/tafsir-az-zuhaili-al-munir-111-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1DijBFcYLR3bmwuCfiV4IJjQycPjrf1fF,1
download,Tafsir az-Zuhaili (al-Wasith) - Surah al-Lahab 111 (ar),111 Al-Lahab|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Wasith - Al-Ustadz ad-Doktor Wahbah az-Zuhaili,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/111_tafasir_surah_al_lahab_arab_pdf/tafsir-az-zuhaili-al-wasith-111-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1rZWLL-jGF3mUVE5FM6RbFTilMwhFlH62,1
download,Tafsir Faishal Alu Mubarak - Surah al-Lahab 111 (ar),111 Al-Lahab|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Taufiq-ur-Rahman fi Durus-il-Qur'an - Faishal bin 'Abd-ul-'Aziz Alu Mubarak,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/111_tafasir_surah_al_lahab_arab_pdf/tafsir-faishal-alu-mubarak-111-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1IEFtc8ahVkK4bMAVCsjVkNG_H2oCHuSP,1
download,Tafsir Hamyan-uz-Zad (Ithfisy) - Surah al-Lahab 111 (ar),111 Al-Lahab|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir Hamyan-uz-Zad Ila Dar-il-Ma'ad - Muhammad bin Yusuf Ithfisy,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/111_tafasir_surah_al_lahab_arab_pdf/tafsir-hamyan-uz-zad-111-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=121lavGC98fme2W61vxJ6bWrt7MTWPxtw,1
