type,title,categories,version,file_urls,version_order
download,Tafsir az-Zuhaili (al-Munir) - Surah an-Nas 114 (ar),114 An-Nas|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Munir - Al-Ustadz ad-Doktor Wahbah az-Zuhaili ,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-az-zuhaili-al-munir-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1XqtIpEiLlah7TW07JJ6g5eis5MECOmU6,1
download,Tafsir az-Zuhaili (al-Wasith) - Surah an-Nas 114 (ar),114 An-Nas|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Wasith - Al-Ustadz ad-Doktor Wahbah az-Zuhaili,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-az-zuhaili-al-wasith-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1d99LkjW4dOo3thtnsX1KxckQxtgBxZoI,1
download,Tafsir Faishal Alu Mubarak - Surah an-Nas 114 & Surah al-Falaq 113 (ar),113 Al-Falaq|114 An-Nas|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Taufiq-ur-Rahman fi Durus-il-Qur'an - Faishal bin 'Abd-ul-'Aziz Alu Mubarak,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-faishal-alu-mubarak-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1YpoxnNqBZFWSEPx1Yqqt5rKIfIuMKCtR,1
download,Tafsir Furat-il-Kufi - Surah an-Nas 114 (ar),114 An-Nas|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir Furat-il-Kufi - Abil Qasim Furat bin Ibrahim bin Furat al-Kufi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-furat-il-kufi-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1h1l5Vyl-mcq1AfRRyJTiR5FH7M_T6ADn,1
download,Tafsir Hamyan-uz-Zad (Ithfisy) - Surah an-Nas 114 (ar),114 An-Nas|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir Hamyan-uz-Zad Ila Dar-il-Ma'ad - Muhammad bin Yusuf Ithfisy,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-hamyan-uz-zad-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1sNDvYkIk2WhPAnR-OYdRNvWDhZBjSLTR,1
