type,title,categories,version,file_urls,version_order
download,Tafsir al-Maturidi - Surah al-Ikhlash 112 (ar),112 Al-Ikhlash|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir Al-Maturidi (Ta'wilatu Ahl-is-Sunnah) - Muhammad bin Muhammad bin Mahmud al-Maturidi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-al-maturidi-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1v6190-1yXCJjYgLwAIBlX5JKeS-5YuAP,1
download,Tafsir al-Mawardi - Surah al-Ikhlash 112 (ar),112 Al-Ikhlash|An-Nukatu wal 'Uyun (Tafsir al-Mawardi) - Abul Hasan al-Mawardi|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-al-mawardi-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1qqM_ER1cT0ZE6Hi0KFotWAPrVosnlFjy,1
download,Tafsir al-Mizan - Surah al-Ikhlash 112 (ar),112 Al-Ikhlash|Al-Mizan fi Tafsir-il-Qur'an - Muhammad Husain Thabathaba'i|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-al-mizan-sy112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=11vhVlpb72YTa2towoR9K6MBkqN5MWHtt,1
download,Tafsir al-Muntakhab - Surah al-Ikhlash 112 (ar),112 Al-Ikhlash|Al-Muntakhab Fi Tafsir-il-Qur'an-il-Karim - Lajanat-ul-Qur'an wa as-Sunnah|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-al-muntakhab-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1qv5qIMFnZfVpLp9E2ngR-VsfIPprr5fT,1
download,Tafsir al-Muyassar - Surah al-Ikhlash 112 (ar),112 Al-Ikhlash|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Muyassar - Nukhbatun Min-al-'Ulama'i,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-al-muyassar-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1FNda9F_v7ieV-jX1uZEGPiXeqghSohdv,1
