type,title,categories,version,file_urls,version_order
download,Tafsir Haqqi - Surah al-Ikhlash 112 (ar),112 Al-Ikhlash|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Ruh-ul-Bayan Fi Tafsir-il-Qur'an - Isma'il Haqqi bin Mushthafa,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-haqqi-sh112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1v3Jthpfm0nWlwavwektEK0iDI2BcX5D5,1
download,Tafsir Tanwir-ul-Miqbas (Ibni 'Abbas) - Surah al-Ikhlash 112 (ar),112 Al-Ikhlash|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tanwir-ul-Miqbas min Tafsir Ibni 'Abbas - ‘Abdullah bin ‘Abbas &amp; Muhammad bin Ya’qub al-Fairuz Abadi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-ibni-abbas-tanwir-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1Drpv_Jza3WLcnvYsoGyKm853uGFH-FAN,1
download,Tafsir Ibni 'Abd-is-Salam - Surah al-Ikhlash 112 (ar),112 Al-Ikhlash|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Qur'an (Ringkasan Tafsir al-Mawardi) - 'Abd-ul-'Aziz bin 'Abd-is-Salam,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-ibni-abd-is-salam-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=14pbQRhBT094HAXI16LLiO7wJ1lLdxqlr,1
download,Tafsir Ibni Abi Hatim - Surah al-Ikhlash 112 (ar),112 Al-Ikhlash|Ibni Abi Hatim|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-ibni-abi-hatim-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1WsJ9BDy-gHu1NFxaZE7o97M_9qT-mBxN,1
download,Tafsir Ibni Abi Zamnin - Surah al-Ikhlash 112 (ar),112 Al-Ikhlash|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Qur'an-il-'Aziz li Ibni Abi Zamnin - Muhammad bin 'Abdullah bin Abi Zamnin,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-ibni-abi-zamnin-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1a5sRl559freuKtHOXsi0HW5Xn-Fe_f_0,1
