type,title,categories,version,file_urls,version_order
download,Tafsir Ibni Abi Zamnin - Suratu Quraisy 106 (ar),106 Quraisy|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Qur'an-il-'Aziz li Ibni Abi Zamnin - Muhammad bin 'Abdullah bin Abi Zamnin,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/106_tafasir_surah_quraisy_arab_pdf/tafsir-ibni-abi-zamnin-106-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1bJixgDw-Xaslf8hHBtnQ1iZC7NcErYoZ,1
download,Tafsir Ibni Abi Hatim - Suratu Quraisy 106 (ar),106 Quraisy|Ibni Abi Hatim|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/106_tafasir_surah_quraisy_arab_pdf/tafsir-ibni-abi-hatim-106-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1cRTq-N4koOfsqWNp0P8ubV8YwGh5tKkC,1
download,Tafsir Ibni 'Adil - Suratu Quraisy 106 (ar),106 Quraisy|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Libabu fi 'Ulum-il-Kitab - 'Umar bin 'Ali bin 'Adil ad-Dimasyqi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/106_tafasir_surah_quraisy_arab_pdf/tafsir-ibni-adil-106-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1pK8-qR-D4PdJQjpbjS73CXgs5l-l2gP5,1
download,Tafsir Tanwir-ul-Miqbas (Ibni 'Abbas) - Suratu Quraisy 106 (ar),106 Quraisy|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tanwir-ul-Miqbas min Tafsir Ibni 'Abbas - 'Abdullah bin 'Abbas &amp; Muhammad bin Ya'qub al-Fairuz Abadi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/106_tafasir_surah_quraisy_arab_pdf/tafsir-ibni-abbas-tanwir-106-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1MIT5jmHu01EKenF-qtUGMg4FJexXeaAk,1
download,Tafsir Ibni 'Abd-is-Salam - Suratu Quraisy 106 (ar),106 Quraisy|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Qur'an (Ringkasan Tafsir al-Mawardi) - 'Abd-ul-'Aziz bin 'Abd-is-Salam,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/106_tafasir_surah_quraisy_arab_pdf/tafsir-ibni-abdis-salam-106-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1VqCEdFID5G82G_2s7FFHAL5h2Is0gtCe,1
