type,title,categories,version,file_urls,version_order
download,Tafsir az-Zuhaili (al-Wasith) - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Wasith - Al-Ustadz ad-Doktor Wahbah az-Zuhaili,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-az-zuhaili-al-wasith-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1FTX0lzJA_vfvlUk0HoRcnMfEy2hCrtdL,1
download,Tafsir az-Zamakhsyari - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Kasysyaf - Az-Zamakhsyari,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-az-zamakhsyari-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1JmE4dwMmuxOmb14261J98bNKjAaVRzg6,1
download,Tafsir ats-Tsa'labi - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Kasyf wal Bayan - Ats-Tsa'labi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-ats-tsa-labi-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=11n1aYUOm7C1OyOwM6qJm7CLbl3Bew6rk,1
download,Tafsir at-Tustari - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Qur'an-il-'Adzim - At-Tustari,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-at-tustari-sh108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1Qvd8pycu0_LiHliTpiFMjLtwva-JDzj8,1
download,Tafsir ath-Thusi - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir ath-Thibyan - Ath-Thusi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-ath-thusi-sy108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=11QmDXF3LpPa91F52wjAAiF_zW7EyUXot,1
