type,title,categories,version,file_urls,version_order
download,Tafsir as-Sam'ani - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir-ul-Qur'an - Abi Muzhaffir as-Sam'ani,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-as-sam-ani-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=13VQGQPPireXV6p_CCKmQ9xWYCcpptQbn,1
download,Tafsir as-Sajistani - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Nuzhat-ul-Qulub fi Tafsir Gharib al-Qur'an - Abi Bakar Muhammad bin 'Aziz as-Sajistani,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-as-sajistani-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1bTHR7AgGhczhgQ9oscK5jTAw0MmsvcNY,1
download,Tafsir ar-Razi - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Miftah-ul-Ghaib / Tafsir-ul-Kabir - Fakhr-ud-Din ar-Razi|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-ar-razi-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1n7vkeFzkjbtqS6nOQycutJh-Va7_F0Du,1
download,Tafsir an-Nasa'i - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir an-Nasa'i - Ahmad bin Syu'aib bin 'Ali an-Nasa'i,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-an-nasa-i-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1nbc7BtTHuhYMK8F4JuQIuhEpbaueuUqt,1
download,Tafsir an-Nasafi - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Madarik-ut-Tanzil wa Haqa'iq-ut-Ta'wil - Abdullah bin Ahmad bin Mahmud an-Nasafi|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-an-nasafi-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1tDNO1uM6jVMUQ33R-5pNXdprSCGFQK_j,1
