type,title,categories,version,file_urls,version_order
download,Tafsir al-Jailani - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Jailani - 'Abdul Qadir al-Jailani,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-al-jailani-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1NBb_073woaDL9XtAvKwc3BWnVQGfNhoV,1
download,Tafsir al-Jalalain - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Jalalain - Jalaluddin al-Mahalli &amp; Jalaluddin as-Suyuthi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-al-jalalain-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1PvyMMgw0fVduoaIM3NEGTEn3-fI9c1AK,1
download,Tafsir Nur ats-Tsaqalain (al-Huwaizi) - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Nur ats-Tsaqalain - Syaikh Abdu 'Ali bin Jum'ah al-'Arusi al-Huwaizi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-al-huwaizi-isml-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1ElXXxWJ_gcA7U3aUzZ_znezpenFkzZPj,1
download,Tafsir al-Firuz Abadi - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Qur'an - Al-Firuz Abadi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-al-firuz-abadi-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1YyAbk09XbRYk4zMa-7GV97KlSpagFkE5,1
download,Tafsir al-Qur'an-il-Karim ('Ali al-Qummi) - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Qur'an-il-Karim - 'Ali bin Ibrahim al-Qummi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-ali-al-qummi-sy108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1nwsHNWl3Txg17uGqJ5qmEiAER0oHyH5h,1
