type,title,categories,version,file_urls,version_order
download,Tafsir ats-Tsa'alibi - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Jawahir-ul-Hisan fi Tafsir-il-Qur'an - Ats-Tsa'alibi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-ats-tsa-alabi-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1ipuSaQk6CL4nTHtuoXD-1PAnlswVXaZ8,1
download,Tafsir ath-Thanthawi - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Wasith - Ath-Thanthawi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-ath-thanthawi-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=11QiM0cPwIBOuX18PQpITjfwUmBYFQ9Nj,1
download,Tafsir ath-Thabarsi - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Majmu'-ul-Bayan li 'Ulum-il-Qur'an - Fadhl bin Hasan ath-Thabarsi|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-ath-thabarsi-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=13vaPMFezMQIFJbmRb9UFLHelNfOMTAvt,1
download,Tafsir asy-Syubbar - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir Syubbar - As-Sayyid 'Abdullah Syubbar,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-asy-syubbar-sy108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1V3ADEjZGoeXdBL087zc5Vip5xvyRSyGg,1
download,Tafsir ath-Thabrani - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Qur'an-il-'Adhim - Ath-Thabrani,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-ath-thabrani-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1XPuFGYkNoD-ra5LMnZfVM_KJJ-SILQLN,1
