type,title,categories,version,file_urls,version_order
download,Tafsir Fi Zhilal-il-Qur'an (Sayyid Quthb) - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir fi Dzilal-il-Qur'an - Sayyid Quthb Ibrahim Husain asy-Syadzili,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-sayyid-quthb-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=12TQQH-_8pzNHxb11mbLJBel31S7zupug,1
download,Tafsir Marahi Labid - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Marahi Labid / Tafsir al-Munir - Al-‘Allamah asy-Syaikh Muhammad Nawawi al-Jawi (Banten)|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-marahi-labid-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1MTpWTMAuQWFe0S3zEnQDIdvqdCsWEXbB,1
download,Tafsir Mujahid - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Imam Mujahid bin Jabr - Mujahid bin Jabr,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-mujahid-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1dg4iLyNX0hbOe_vzCqizarpBTKRXUmM_,1
download,Tafsir Maqatil bin Sulaiman - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir Maqatil bin Sulaiman - Abul Hasan Maqatil bin Sulaiman,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-maqatil-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=12XZh0yb91UvAiXYtJ2yuumr8NzezLSQ0,1
download,Tafsir Imam Ahmad bin 'Umar - Surah al-Kautsar 108 (ar),108 Al-Kautsar|At-Ta'wilat-un-Najmiyyah fi at-Tafsir-il-Isyari-sh-Shufi - Al-Imam Ahmad bin 'Umar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-imam-ahmad-bin-umar-sh108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1XHClSp9GwO7lt3RtgMR8P0JOZI9jd67B,1
