type,title,categories,version,file_urls,version_order
download,Tafsir asy-Syaukani - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Fath-ul-Qadir - Asy-Syaukani|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-asy-syaukani-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1WgSQzK_3ZIv3eHlpopPx8K8MrkAmQT21,1
download,Tafsir asy-Syarbini - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir as-Siraj-ul-Munir - Muhammad bin Ahmad al-Khatib asy-Syarbini al-Mishri,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-asy-syarbini-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1ytl_8fRWkHoIPEiRLnVOHe9-pGgH4N3O,1
download,Tafsir Haqa'iq-ut-Tafsir (as-Sulami) - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir Haqa'iq-ut-Tafsir - Abi 'Abdirrahman as-Sulami,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-as-sulami-sh108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=17upPPHTbVMUEO1S2XqlpHUJmBDxfDNpr,1
download,Tafsir as-Suyuthi - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Ad-Durr-ul-Mantsur fi at-Tafsir bil Ma'tsur - as-Suyuthi|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-as-suyuthi-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1CeiQlWJ_ytE07OPc41pJ46zGI1k2ARVE,1
download,Tafsir as-Samarqandi - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir Bahr-il-'Ulum - Abu al-Laits Nasr bin Muhammad bin Ibrahim as-Samarqandi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-as-samarqandi-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1ApMZBayssImL1Zn6YT2eZlF0P9qdV2Vi,1
