type,title,categories,version,file_urls,version_order
download,Tafsir al-Firuz Abadi - Surah al-Kafirun 109 (ar),109 Al-Kafirun|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Qur'an - Al-Firuz Abadi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/109_tafasir_surah_al_kafirun_arab_pdf/tafsir-al-firuz-abadi-109-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=10gZqfyH7Lgc93bZsL4lvzkuWA1Oew1EE,1
download,Tafsir as-Shafi (al-Faidh-il-Kasyani) - Surah al-Kafirun 109 (ar),109 Al-Kafirun|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir as-Shafi - Al-Faidh-il-Kasyani,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/109_tafasir_surah_al_kafirun_arab_pdf/tafsir-al-faidh-il-kasyani-109-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1ORhk1EJzUjO-37qzkB2o-s2OTZPUtiyE,1
download,Tafsir Anwar-ut-Tanzil wa Asrar-ut-Ta'wil (al-Baidhawi) - Surah al-Kafirun 109 (ar),109 Al-Kafirun|Anwar-ut-Tanzil wa Asrar-ut-Ta'wil - Al-Baidhawi|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/109_tafasir_surah_al_kafirun_arab_pdf/tafsir-al-baidhawi-109-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1XUDuy1jQxwy26rcTS00COA-SP57J_NOy,1
download,Tafsir al-Ashfa (al-Faidh-il-Kasyani) - Surah al-Kafirun 109 (ar),109 Al-Kafirun|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Ashfa - Al-Faidh-il-Kasyani,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/109_tafasir_surah_al_kafirun_arab_pdf/tafsir-al-faidh-il-kasyani-al-ashfa-sy109-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1arRBQDHAaHDF5W9jvtzEac4Pn9vOtwgO,1
download,Tafsir al-Baqli - Surah al-Kafirun 109 (ar),Ara'is-il-Bayan Fi Haqa'iq-il-Qur'an - Al-Baqli|109 Al-Kafirun|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/109_tafasir_surah_al_kafirun_arab_pdf/tafsir-al-baqli-109-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1k4VNbjUpWsTLJ6dAwIZMUYiDhhR8Q0nF,1
