type,title,categories,version,file_urls,version_order
download,Tafsir Haqa’iq-ut-Tafsir (as-Sulami) - Surah al-Ma'un 107 (ar),107 Al-Ma'un|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir Haqa'iq-ut-Tafsir - Abi 'Abdirrahman as-Sulami,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/107_tafasir_surah_al_ma_un_arab_pdf/tafsir-as-sulami-sh107-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=14GryxEBjzX1Om9mtGPxOOV3VI_gH3BGH,1
download,Tafsir as-Suyuthi - Surah al-Ma'un 107 (ar),107 Al-Ma'un|Ad-Durr-ul-Mantsur fi at-Tafsir bil Ma'tsur - as-Suyuthi|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/107_tafasir_surah_al_ma_un_arab_pdf/tafsir-as-suyuthi-107-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1h7_snJDl9sTP6z5x0m6FZG6YKYHmkxEL,1
download,Tafsir Adhwa'-ul-Bayan (asy-Syanqithi) - Surah al-Ma'un 107 (ar),107 Al-Ma'un|Adhwa’-ul-Bayan Fi Tafsir-il-Qur'an - Asy-Syanqithi|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/107_tafasir_surah_al_ma_un_arab_pdf/tafsir-asy-syanqithi-107-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1shGPW0uwYwGU--OSLEPzMhG6cdMOyKoS,1
download,Tafsir asy-Syarbini - Surah al-Ma'un 107 (ar),107 Al-Ma'un|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir as-Siraj-ul-Munir - Muhammad bin Ahmad al-Khatib asy-Syarbini al-Mishri,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/107_tafasir_surah_al_ma_un_arab_pdf/tafsir-asy-syarbini-107-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1Ix-PfD9S79_NsAQqnd778W2MLdTchTup,1
download,Tafsir asy-Syaukani - Surah al-Ma'un 107 (ar),107 Al-Ma'un|Fath-ul-Qadir - Asy-Syaukani|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/107_tafasir_surah_al_ma_un_arab_pdf/tafsir-asy-syaukani-107-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1dwRs8vpLwoFLkOBjNcLrgBTDtc9wmFFF,1
