type,title,categories,version,file_urls,version_order
download,Tafsir al-Qurthubi - Surah al-Ma'un 107 (ar),107 Al-Ma'un|Al-Jami‘-ul-Ahkam-il-Qur’an - Al-Qurthubi|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/107_tafasir_surah_al_ma_un_arab_pdf/tafsir-al-qurthubi-107-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1rJW4HvVWdL8akOXBrSnK_F1GII_3f099,1
download,Tafsir al-Qusyairi - Surah al-Ma'un 107 (ar),107 Al-Ma'un|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir Latha'if-ul-Isyarat - Abd-ul-Karim al-Qusyairi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/107_tafasir_surah_al_ma_un_arab_pdf/tafsir-al-qusyairi-sh107-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1kjP0ci681t4GDTCKM2xPVixHhWJqdyfi,1
download,Tafsir al-Wajiz (al-Wahidi an-Naisaburi) - Surah al-Ma'un 107 (ar),107 Al-Ma'un|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Wajiz - Abil Hasan 'Ali bin Ahmad al-Wahidi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/107_tafasir_surah_al_ma_un_arab_pdf/tafsir-al-wahidi-107-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1Vx7eIV4v_qfps3Outs50jgAk7gWjCdVi,1
download,Tafsir an-Nasafi - Surah al-Ma'un 107 (ar),107 Al-Ma'un|Kumpulan Tafsir al-Qur'an|Madarik-ut-Tanzil wa Haqa'iq-ut-Ta'wil - Abdullah bin Ahmad bin Mahmud an-Nasafi|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/107_tafasir_surah_al_ma_un_arab_pdf/tafsir-an-nasafi-107-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1X5yhvYwQUEmxa3mXl3fEdKEtqyWl6iqW,1
download,Tafsir an-Nasa'i - Surah al-Ma'un 107 (ar),107 Al-Ma'un|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir an-Nasa'i - Ahmad bin Syu'aib bin 'Ali an-Nasa'i,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/107_tafasir_surah_al_ma_un_arab_pdf/tafsir-an-nasa-i-107-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1CGReCgZPrm3WU4JIRLXvbABAdmzqvToV,1
